PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,BATS,IDPLAYER
Luis Valbuena,Luis,Valbuena,LAA,3B,29246,Luis Valbuena,L,valbulu01
Austin Barnes,Austin,Barnes,LAD,C,,,R,barneau01
Cody Bellinger,Cody,Bellinger,LAD,1B,33912,Cody Bellinger,L,bellico01
Charlie Culberson,Charlie,Culberson,LAD,SS,29955,Charlie Culberson,R,culbech01
Yusniel Diaz,Yusniel,Diaz,LAD,OF,,,R,diazyu01
Brett Eibner,Brett,Eibner,LAD,OF,31276,Brett Eibner,R,eibnebr01
Andre Ethier,Andre,Ethier,LAD,OF,6481,Andre Ethier,L,ethiean01
Jose Miguel Fernandez,Jose Miguel,Fernandez,LAD,2B,,,,fernajo03
Logan Forsythe,Logan,Forsythe,LAD,2B,30579,Logan Forsythe,R,forsylo01
Adrian Gonzalez,Adrian,Gonzalez,LAD,1B,5405,Adrian Gonzalez,L,gonzaad01
Yasmani Grandal,Yasmani,Grandal,LAD,C,30950,Yasmani Grandal,B,grandya01
Franklin Gutierrez,Franklin,Gutierrez,LAD,OF,6408,Franklin Gutierrez,R,gutiefr01
Enrique Hernandez,Enrique,Hernandez,LAD,OF,31358,Enrique Hernandez,R,hernaen02
Joc Pederson,Joc,Pederson,LAD,OF,31392,Joc Pederson,L,pederjo01
Yasiel Puig,Yasiel,Puig,LAD,OF,32574,Yasiel Puig,R,puigya01
Corey Seager,Corey,Seager,LAD,SS,32691,Corey Seager,L,seageco01
Darnell Sweeney,Darnell,Sweeney,LAD,OF,32908,Darnell Sweeney,B,sweenda02
Chris Taylor,Chris,Taylor,LAD,3B,32900,Chris Taylor,R,tayloch03
Trayce Thompson,Trayce,Thompson,LAD,OF,30743,Trayce Thompson,R,thomptr01
Andrew Toles,Andrew,Toles,LAD,OF,33222,Andrew Toles,L,tolesan01
Justin Turner,Justin,Turner,LAD,3B,29607,Justin Turner,R,turneju01
Chase Utley,Chase,Utley,LAD,2B,5383,Chase Utley,L,utleych01
Scott Van Slyke,Scott,Van Slyke,LAD,OF,30714,Scott Van Slyke,R,vanslsc01
Alex Verdugo,Alex,Verdugo,LAD,OF,,,L,verdual01
Brandon Barnes,Brandon,Barnes,MIA,OF,30732,Brandon Barnes,R,barnebr02
Justin Bour,Justin,Bour,MIA,1B,31453,Justin Bour,L,bourju01
Matt den Dekker,Matt,den Dekker,MIA,OF,31193,Matt den Dekker,L,dendema01
Derek Dietrich,Derek,Dietrich,MIA,2B,31784,Derek Dietrich,L,dietrde01
A.J. Ellis,A.J.,Ellis,MIA,C,29258,A.J. Ellis,R,ellisaj01
Jeff Francoeur,Jeff,Francoeur,MIA,OF,6345,Jeff Francoeur,R,francje02
Dee Gordon,Dee,Gordon,MIA,2B,30726,Dee Gordon,L,gordode01
