IDPLAYER,PLAYERNAME,FIRSTNAME,LASTNAME,TEAM,POS,ESPNID,ESPNNAME,KFFLNAME,THROWS
perezwi01,Williams Perez,Williams,Perez,CHC,P,33650,Williams Perez,,R
perkigl01,Glen Perkins,Glen,Perkins,MIN,P,6482,Glen Perkins,,L
petityu01,Yusmeiro Petit,Yusmeiro,Petit,LAA,P,6470,Yusmeiro Petit,,R
petrija01,Jake Petricka,Jake,Petricka,CHW,P,31842,Jake Petricka,,R
phelpda01,David Phelps,David,Phelps,MIA,P,31124,David Phelps,,R
pinedmi01,Michael Pineda,Michael,Pineda,NYY,P,30937,Michael Pineda,,R
pomerdr01,Drew Pomeranz,Drew,Pomeranz,BOS,P,31010,Drew Pomeranz,,L
porceri01,Rick Porcello,Rick,Porcello,BOS,P,29966,Rick Porcello,,R
poundbr01,Brooks Pounders,Brooks,Pounders,LAA,P,34902,Brooks Pounders,,R
pressry01,Ryan Pressly,Ryan,Pressly,MIN,P,33072,Ryan Pressly,,R
priceda01,David Price,David,Price,BOS,P,28958,David Price,,L
putnaza01,Zach Putnam,Zach,Putnam,CHW,P,30483,Zach Putnam,,R
quackke01,Kevin Quackenbush,Kevin,Quackenbush,SD,P,32396,Kevin Quackenbush,,R
quallch01,Chad Qualls,Chad,Qualls,COL,P,6034,Chad Qualls,,R
